Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7u,
C10,0805,1,4.7u,
C11,0805,1,4.7u,
C12,0603,1,1000p,
C13,0603,1,0.1u,
C14,0805,1,4.7u,
C15,0603,1,0.1u,
C16,0603,1,0.1u,
C17,0805,1,4.7u,
C18,0805,1,4.7u,
C19,0805,1,4.7u,
C2,0805,1,4.7u,
C20,0603,1,1000p,
C21,0805,1,4.7u,
C22,0805,1,4.7u,
C23,0805,1,4.7u,
C24,0603,1,1000p,
C25,0603,1,0.1u,
C26,0603,1,0.1u,
C27,0603,1,0.1u,
C28,0603,1,0.1u,
C29,0603,1,0.1u,
C3,0805,1,4.7u,
C30,0603,1,0.1u,
C31,0603,1,0.1u,
C32,0603,1,C,
C4,0805,1,4.7u,
C5,0603,1,0.1u,
"C6, C7, C8",CP_Elec_10x10,3,330u,
C9,0805,1,4.7u,
D1,D_SMA,1,D,
D2,0603,1,LED,
D3,0603,1,LED,
D4,0603,1,LED,
ENC1,JST_XA_S05B-XASK-1_1x05_P2.50mm_Horizontal,1,Conn_01x05,
FB1,0603,1,FerriteBead,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
J2,IDC-Header_2x03_P2.54mm_Horizontal,1,Conn_02x03_Odd_Even,
"JP1, JP2, JP3",SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,3,Jumper_3_Open,
"JP4, JP5, JP6",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,3,Jumper_2_Bridged,
OUT1,AMASS_MR30PW-M_1x03_P3.50mm_Horizontal,1,Conn_01x03,
POWER1,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Conn_01x02,
"Q1, Q2, Q3, Q4, Q5, Q6",TDSON-8-1,6,BSC028N06LS3,
R1,0603,1,10k,
R10,0603,1,10k,
R11,0603,1,10,
R12,0603,1,10,
R13,0603,1,10k,
R14,0603,1,1k,
R15,0603,1,10,
R16,0603,1,10,
R17,0603,1,10k,
R18,0603,1,1k,
R19,0603,1,10k,
R2,0603,1,10k,
"R20, R22",PU2512,2,0.5m,
R21,0603,1,10k,
R23,0603,1,5.1k,
R24,0603,1,5.1k,
R25,0603,1,120,
R3,0603,1,10k,
R4,0603,1,1k,
R5,0603,1,10k,
R6,0603,1,10,
R7,0603,1,10,
R8,0603,1,10k,
R9,0603,1,1k,
SERVO1,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03,
SW1,TVAF06-A020B-R,1,SW_Push,
SWD1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
U1,TO-252-2,1,9V_LR,
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,
U11,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U2,TO-252-2,1,3.3V_LR,
U3,TSSOP-14_4.4x5mm_P0.65mm,1,AS5048A,
"U4, U6, U7",SOIC-8_3.9x4.9mm_P1.27mm,3,MIC4604YM,
U5,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
"U8, U9",MSOP-8_3x3mm_P0.65mm,2,MAX40056,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering,1,Resonator,
